Employee_ID,Full_Name,Department,Position,Region,Salary,Years_of_Service,Project_Name,Project_Budget,Project_Status,Contract_Type,Performance_Score,Compliance_Status,Is_Under_Investigation,Under_Investigation,Last_Promotion_Date,Leave_Days_Remaining,Overtime_Hours,Supervisor_Name,Security_Clearance,Remarks
ba673e36-201e-4f14-bcad-53807a77c36b,Jessica Harris,Ministry of Education,Clerk,North,125305,31,Multi-layered zero tolerance system engine,27248868,Completed,Contract,1.44,Under Review,Yes,1,19/02/2024,9,218,Shelly Douglas,Medium,Very guy five when effect common represent magazine.
05d29ad3-735b-491c-b0e4-3b7c302b70e4,Jason Rodriguez,Ministry of Environment,Inspector,East,199765,24,Mandatory static interface,5249534,Cancelled,Temporary,4.47,Under Review,No,0,07/12/2024,18,11,Joshua Middleton,Medium,Artist recognize investment exactly wish.
ecf0cee5-a340-4504-885b-bc01820da042,Claire Hart,Ministry of Education,Director,Central,243004,34,Diverse bi-directional attitude,12412829,Cancelled,Contract,2.19,Compliant,No,0,11/07/2018,29,301,Cassidy Lin,Low,Far room occur audience.
a9578b61-45e4-4feb-8859-f6b36c71e542,Michael Smith,Ministry of Defense,Policy Advisor,West,298795,3,Ergonomic radical Graphic Interface,3414344,Active,Permanent,1.65,Non-Compliant,No,0,01/10/2021,21,414,Matthew Cox IV,Medium,Wonder strong question hour ahead past.
0707f568-10d0-4a33-8595-6ad4d056a105,Danielle Young,Ministry of Defense,Engineer,Central,264088,26,Enhanced content-based leverage,149976,On Hold,Permanent,3.7,Compliant,No,0,25/11/2022,2,31,Wanda Carter,Low,Discuss act pressure official able.
c0185d3d-789e-48eb-9981-a411a011bb3f,Timothy Kim,Ministry of Interior,Engineer,Central,170608,23,Integrated tangible firmware,44406168,Completed,Contract,1.15,Non-Compliant,Yes,1,30/03/2025,36,159,Stacey Bradley,Medium,Money campaign affect on feel.
d89984a4-c23e-4f00-a8ee-c736fd278dc5,Thomas Lawson,Ministry of Health,Data Analyst,West,278042,15,Expanded holistic instruction set,29671637,Cancelled,Temporary,3.48,Compliant,No,0,04/07/2020,40,488,Gina Smith,Medium,Above majority letter father.
aa439079-32d9-4bd6-a47a-80927bd6a52c,Erin Clark,Ministry of Labor,Auditor,Central,196730,4,Compatible coherent concept,12131301,Cancelled,Contract,3.79,Compliant,No,0,01/11/2022,17,236,John Fuller,Top Secret,Education particular chair something level.
bcfbcaca-ecb2-4b32-85b9-ba5c87c704d0,Kristin Walters,Ministry of Energy,Field Officer,East,124478,29,Quality-focused mission-critical secured line,33426436,On Hold,Temporary,1.86,Under Review,No,0,27/11/2017,10,226,Becky Rivera,High,Bill space benefit gun.
3c3ba997-b72c-4608-bc61-be9221f34826,Stephanie Palmer,Ministry of Education,Auditor,West,162537,22,Robust optimal neural-net,18904536,Completed,Permanent,1.17,Non-Compliant,No,0,09/03/2019,47,180,Michelle Clark,Low,Defense wife modern special.
3ebc63fd-43ce-4454-b06d-18f251a814ca,Joyce Phillips,Ministry of Environment,Clerk,North,189503,25,Managed 4thgeneration task-force,18689321,Completed,Permanent,2.45,Compliant,No,0,18/05/2025,1,316,Juan Carpenter,Top Secret,Sense budget bring responsibility theory.
fc0a4f1e-faf8-46a1-a03c-d1ec9d543a24,Courtney Williams,Ministry of Education,Assistant Director,Central,170523,13,Seamless didactic Internet solution,31776806,Active,Permanent,1.39,Non-Compliant,Yes,1,12/01/2019,11,45,Derrick Fisher,Top Secret,Someone clear never early must.
ff834e61-83c4-485f-8d28-f6d98381fbf2,Steven Spencer,Ministry of Energy,Data Analyst,North,42747,18,Customer-focused system-worthy project,2047238,Cancelled,Contract,1.47,Non-Compliant,No,0,10/01/2024,53,340,Peter Jones,High,Though government paper practice.
c9948825-87ea-4067-aecf-81569e765b45,Jennifer Castillo,Ministry of Interior,Inspector,North,163855,33,Self-enabling high-level process improvement,31555141,Active,Contract,2.02,Non-Compliant,No,0,26/04/2021,5,457,Kara Jones,Medium,Thank natural particularly the hand.
54ecdd22-9a5d-4ea4-bae5-35afdcea2303,Daniel Johnson,Ministry of Defense,Clerk,West,230222,16,Upgradable incremental Local Area Network,43438836,Cancelled,Temporary,2.18,Non-Compliant,No,0,24/06/2025,42,79,Brian Moore,Top Secret,Much item wonder factor.
2330e45f-3bb4-49df-b195-a64a57be6a22,John Hunt,Ministry of Transport,Director,South,105725,2,Multi-layered impactful monitoring,30454748,On Hold,Contract,3.12,Non-Compliant,Yes,1,12/08/2024,58,134,James Jones,Top Secret,Article protect its two.
70d5f1b0-7070-4669-9a10-b331772dab18,Renee Mcconnell,Ministry of Education,Policy Advisor,North,169981,34,Synergistic encompassing secured line,33318943,Active,Temporary,3.71,Non-Compliant,Yes,1,07/03/2023,39,259,Blake Jones,Medium,Just industry program create carry ground decade.
ccb5c80c-995f-4a0e-a459-3d69a9d3c256,Shelly Brown,Ministry of Health,Director,North,124654,30,Multi-layered non-volatile open system,6430034,Cancelled,Contract,3.37,Compliant,No,0,21/07/2021,43,474,Patrick Porter,Top Secret,Fine sign recognize three former.
f3d8f83c-956a-4b8e-9b3b-6a8042f03d40,Matthew Meza,Ministry of Transport,Clerk,South,206845,13,Diverse optimizing time-frame,21686261,Completed,Contract,1.59,Under Review,No,0,04/01/2022,28,307,Michael Smith,High,Air carry chance address third else.
26f1ef81-839a-4498-960c-6a30af307dd6,Maria Hansen,Ministry of Interior,Policy Advisor,East,159346,13,Managed analyzing Internet solution,45604302,On Hold,Temporary,1.69,Non-Compliant,Yes,1,08/07/2023,58,246,Kristi Craig,Top Secret,Me maybe senior tend forward.
79463142-13d8-4f53-9cb8-715cb5eadf0c,Alexandra Mueller,Ministry of Education,Engineer,South,107435,18,Right-sized tertiary migration,15642211,Cancelled,Permanent,4.52,Compliant,No,0,30/08/2023,29,472,Jessica Hansen,Low,Under now others coach brother dinner question.
2b253a5f-2a85-4437-9c1c-6e3e503976f2,Tyler Reed,Ministry of Transport,Director,East,96886,32,Function-based 24/7 paradigm,23909061,Active,Temporary,3.23,Non-Compliant,Yes,1,25/04/2019,1,158,Tom Brown,High,Lawyer matter return animal away lot act.
94ea1c31-18ba-49ab-864e-69548001f4dc,Laurie Burns,Ministry of Education,Auditor,East,106803,32,Function-based multi-tasking algorithm,29293726,Active,Temporary,4.48,Under Review,No,0,14/03/2023,8,202,Leslie Malone,High,Available interest debate reason pattern majority.
2cecfd8f-7519-4f76-8d20-b99420852d7c,Sarah King,Ministry of Environment,Clerk,South,71551,29,Integrated stable definition,145475,Cancelled,Contract,2.49,Non-Compliant,Yes,1,28/04/2024,46,111,Michael Fuller,High,Plan expect right.
ec6af8f1-2d51-4c4c-8567-a5bda4bb2676,Matthew Mcintyre,Ministry of Interior,Clerk,North,156216,29,Seamless value-added concept,32403854,On Hold,Permanent,3.46,Compliant,No,0,13/09/2024,1,467,Nicole Smith,Medium,Fire create service crime door.
ed4f4dbb-00a3-44f6-859f-40ce28f9cdfa,Kevin Reynolds,Ministry of Labor,Auditor,East,51394,16,Exclusive bi-directional leverage,41734984,Cancelled,Permanent,3.09,Compliant,Yes,1,13/02/2025,28,291,Megan Gates,High,Accept spend organization how floor most yourself.
b1004247-07c6-45d8-92fe-ec036cccc056,Chelsea Martinez,Ministry of Defense,Assistant Director,South,109092,10,Configurable value-added portal,20180580,Active,Temporary,2.28,Non-Compliant,No,0,16/03/2023,32,437,Kimberly Martinez,High,From personal cell bill her professional production through.
2e79f597-db9c-425a-8a64-5e83d0d0c8ab,Cynthia Walsh,Ministry of Finance,Field Officer,Central,43890,30,Object-based intermediate contingency,39050796,Active,Temporary,2.88,Under Review,Yes,1,22/03/2020,9,309,Linda Smith,Top Secret,Many plan hold design risk far within.
8c78e274-0768-4cd2-9ded-93f91f1a4801,Mrs. Emma Jackson,Ministry of Defense,Auditor,North,81606,25,Front-line needs-based workforce,3339254,Completed,Temporary,3.01,Non-Compliant,No,0,30/12/2021,33,118,Katherine Rodriguez,Top Secret,Popular magazine whether alone.
65086ddc-d804-4315-9a9c-342494cf9313,Jacob Boyd,Ministry of Defense,Engineer,East,267348,20,Mandatory needs-based data-warehouse,1199577,Completed,Permanent,1.8,Compliant,No,0,14/10/2017,43,382,Monica Silva,Low,Culture behavior hotel during recently.
b18a5df3-b5ce-4cba-9034-f4fda531e3a0,Erika Vang,Ministry of Transport,Inspector,West,296840,5,Exclusive contextually-based help-desk,26109905,Active,Contract,2.26,Non-Compliant,No,0,03/04/2016,54,16,Erica Francis,High,Show manage why one space man pick.
ce96ff85-4c3e-4ca5-a9fd-afe5204b573a,Jill Silva,Ministry of Interior,Inspector,North,251110,1,Enhanced foreground instruction set,23360701,Completed,Permanent,4.17,Under Review,Yes,1,25/12/2022,7,492,Jennifer Hubbard,High,Garden message them including difficult.
f1daf0cb-c376-433a-ba65-4043012cfe6e,Dennis Terry,Ministry of Education,Engineer,Central,127313,30,Cross-group secondary info-mediaries,23837188,Completed,Contract,4.66,Compliant,Yes,1,27/09/2024,36,330,Christopher Rodgers,Low,Such trade book yeah.
cb4c29ca-e094-46c3-8038-b3393af36076,Brendan Hill,Ministry of Finance,Director,Central,181699,3,Synergistic analyzing adapter,40886456,Cancelled,Temporary,2.44,Compliant,No,0,09/07/2021,53,413,Jean Nelson,High,Look give share hour.
be7c266c-4a11-4b9e-9cc4-64e19bbc4306,Heather Robertson,Ministry of Energy,Inspector,South,48792,14,Optimized multi-state throughput,12184335,On Hold,Permanent,2.23,Compliant,Yes,1,11/06/2023,59,226,Matthew Johns,Top Secret,Approach need account movie natural alone.
de5edb16-2fb6-45dc-9711-b62d35a6ffbd,Lisa Hall,Ministry of Transport,Engineer,Central,279931,30,Integrated neutral frame,18480186,Cancelled,Permanent,1.78,Non-Compliant,No,0,28/05/2020,32,360,James Rice,Low,Drug structure whole north national.
f3170131-ceb3-4550-a7fe-e015322c1909,Amanda Flores,Ministry of Finance,Auditor,West,279629,4,Persistent user-facing framework,25069138,Cancelled,Temporary,3.71,Compliant,No,0,17/11/2021,46,485,Tammy Winters,Medium,Plant table report represent.
c8966976-a987-44a8-8739-e301ac237a35,Joshua Lewis,Ministry of Labor,Data Analyst,South,245041,18,Digitized national leverage,41928557,Completed,Temporary,2.29,Compliant,Yes,1,16/09/2023,5,405,Daniel Evans,Low,Strong front information.
6b2300dc-714e-4a43-9f90-4cdf7db8e8bb,Abigail Brown,Ministry of Environment,Assistant Director,Central,214073,25,User-centric executive matrix,1631064,Completed,Contract,4.95,Non-Compliant,Yes,1,07/07/2018,43,116,Mr. William White,Medium,Defense behind newspaper trouble will.
6d64363c-bdd0-474b-9940-1b4c2c1ae704,Jesse Robertson,Ministry of Interior,Field Officer,East,247624,1,Persistent regional ability,49775645,On Hold,Contract,2.3,Non-Compliant,Yes,1,15/10/2023,39,42,Christina Parker,Top Secret,Role pressure court likely she child anything.
5f09c05e-a04b-4a5a-af66-5f47c358c5b9,Danielle Goodwin,Ministry of Energy,Director,North,194969,15,Profound content-based migration,38066319,On Hold,Permanent,2.58,Under Review,No,0,25/04/2018,44,367,Jonathan Steele,Low,Then team central our sound pretty.
1358d0de-5221-49ab-91cb-ec49e1a63757,Dana Rose,Ministry of Transport,Engineer,West,108148,9,Streamlined fault-tolerant service-desk,48698394,On Hold,Temporary,3.41,Non-Compliant,No,0,03/02/2024,18,114,Amy Gray,Low,None natural think when bad lead capital.
b7c6abf5-7bc5-47be-90a3-36eef3d3bc00,Tony Nelson,Ministry of Defense,Auditor,West,292801,15,Front-line zero-defect website,42270229,Cancelled,Temporary,4.21,Compliant,No,0,01/08/2021,31,282,Jane Marquez,High,Skill response center TV happy analysis public.
9bc63d02-e0db-4a5c-928c-ea3b4e7aae0d,Nichole Kent,Ministry of Health,Director,West,164243,24,Extended mission-critical Internet solution,2176198,On Hold,Contract,2.88,Compliant,Yes,1,05/11/2021,26,36,Rebecca Murphy,Medium,Same entire inside tax hospital.
7d2a9073-145e-4cf7-9ce3-00b4ab7c9da6,Angelica Ball,Ministry of Transport,Clerk,East,291995,4,Triple-buffered leadingedge parallelism,7566511,Active,Temporary,2.69,Under Review,No,0,20/05/2018,0,301,Jacob Hubbard,High,Take can environmental much check.
98531c54-9bf4-492e-8a3f-357ca0ca0977,Nicole Perry,Ministry of Health,Field Officer,Central,160174,12,Right-sized client-server architecture,18346135,Active,Contract,4.98,Compliant,No,0,23/10/2021,42,112,Blake Anderson,High,Sometimes you little high short throw.
e9062e17-8b02-4ebf-995c-2a411a5866cc,Adam Ross,Ministry of Defense,Auditor,North,194555,6,Triple-buffered modular infrastructure,11138932,Cancelled,Temporary,1.04,Non-Compliant,No,0,30/12/2024,51,34,Nathan Morris,Top Secret,Act morning give church why popular cut somebody.
b929e094-ee48-4a34-abab-285b7f04e35b,Matthew Lawrence,Ministry of Environment,Data Analyst,North,164358,24,Devolved non-volatile help-desk,48293845,Completed,Contract,4.58,Under Review,Yes,1,09/09/2015,32,131,Christina Mason,Top Secret,Maybe collection dream discussion discussion material sometimes.
637d7dc3-4533-4862-aa7b-d915090559cb,Lauren Green,Ministry of Interior,Director,East,88555,11,Polarized needs-based forecast,38653543,On Hold,Temporary,1.6,Non-Compliant,No,0,04/05/2022,39,335,Adam Lawson,Low,That policy lead figure.
4e7d6f2e-a0ae-402e-a679-333f28387f5a,Sydney Smith,Ministry of Education,Policy Advisor,South,296508,13,Vision-oriented full-range concept,20562320,Active,Contract,4.14,Compliant,No,0,21/05/2017,31,335,Christopher Li,Medium,Street company staff nice choice.
53c17b54-9664-4b31-9506-3b8c7486a842,Wayne Wu,Ministry of Transport,Policy Advisor,Central,57159,34,Automated clear-thinking structure,24537007,On Hold,Contract,3.47,Non-Compliant,No,0,14/05/2022,4,468,David Avery,Top Secret,Water bill perform plan everything parent help.
420742ae-700e-4696-967c-7dd78e274cef,Renee Vargas,Ministry of Defense,Inspector,West,150510,25,Upgradable didactic moratorium,1520858,Active,Permanent,2.37,Non-Compliant,Yes,1,02/03/2016,16,409,Tammy Swanson,Medium,They gas ever such available future fill.
8e80d626-d393-4cd5-9948-1aa0f47592c3,Amanda Perez,Ministry of Transport,Field Officer,South,146530,7,Public-key disintermediate matrices,35403414,Active,Temporary,4.5,Under Review,No,0,28/12/2022,7,376,Leslie Lee,Medium,Myself feel large reality.
22fd712a-89b3-451f-bcbe-6dbe89ed4a9e,Jamie Harrington,Ministry of Labor,Assistant Director,East,120077,4,Team-oriented reciprocal implementation,16548425,On Hold,Contract,1.05,Non-Compliant,Yes,1,11/11/2023,56,227,Amber Velasquez,Medium,Move anyone oil staff.
629fa0c3-9757-402b-a5de-feb11dd56eb2,Walter Thomas,Ministry of Environment,Policy Advisor,Central,75920,8,Profound multi-state alliance,26710889,Active,Contract,1.91,Under Review,No,0,27/04/2024,41,146,Andre Ochoa,Low,Indicate hit history whom film language fill miss.
4c369b55-a90d-4e65-b951-6e4132afbb5e,Brandi Brown,Ministry of Labor,Assistant Director,Central,263139,20,Proactive optimizing customer loyalty,21774015,On Hold,Permanent,3.27,Under Review,No,0,21/01/2025,33,121,Brandy Simon,Medium,Something late start factor call good guy.
ef99cf28-d529-46b1-983e-a2d949b124d7,Brittney Weber,Ministry of Finance,Director,Central,238193,29,Reverse-engineered regional task-force,47650906,Active,Contract,2.41,Compliant,No,0,26/02/2023,8,80,Jill Stewart,High,Present option challenge pattern movement they phone.
59d69000-86b9-405b-a522-b697f579cd09,Kenneth Mcguire,Ministry of Interior,Director,South,240551,10,Enterprise-wide demand-driven emulation,14679873,Completed,Temporary,3.44,Non-Compliant,Yes,1,15/03/2021,55,172,Matthew Anderson,Medium,Poor new radio tonight research watch.
0df35946-b85b-4e28-97f0-9f5f8ad20b2a,Thomas Johnson,Ministry of Finance,Engineer,South,260547,34,Optional 24/7 application,8566685,Cancelled,Contract,1.1,Non-Compliant,Yes,1,22/01/2017,22,153,Mr. Leonard Williams Jr.,Low,Stay blood miss president lay serve.
2a40807a-de85-460f-9f0e-f174ad426457,Jessica Moody,Ministry of Transport,Field Officer,East,59457,26,Optional stable software,24357032,Cancelled,Permanent,1.47,Under Review,Yes,1,22/06/2018,34,149,Allison Johnson,High,Field low though yes language.
fa43673e-8c12-41c7-a899-5895a54eb5cb,Eric Taylor,Ministry of Energy,Data Analyst,West,237629,3,Optimized uniform matrix,13937264,On Hold,Temporary,1.51,Under Review,Yes,1,26/06/2016,49,374,Cynthia Kelley,Medium,Senior history everybody cultural rest face phone.
02af42a1-cc8f-42f1-b310-e0d3c7d1a7d2,David Brooks,Ministry of Energy,Clerk,South,248261,6,Reactive zero tolerance info-mediaries,14849151,Cancelled,Permanent,1.76,Under Review,Yes,1,20/03/2022,6,57,Sharon Thompson,Medium,East issue boy past create include before.
f2d16b4c-c76e-4e37-a43d-bce017c2f2c6,Jennifer Bartlett,Ministry of Interior,Auditor,North,280181,5,Multi-channeled national moderator,48084649,Cancelled,Temporary,2.84,Non-Compliant,Yes,1,06/08/2024,14,62,Donna Watson,High,Keep left member sure me movement either before.
4b812110-bf91-4e7e-a45e-8633d9a3f614,Julie Smith,Ministry of Environment,Policy Advisor,South,118953,5,Total executive application,10129840,Cancelled,Permanent,4.01,Compliant,Yes,1,07/10/2017,52,155,David Leon,Medium,Away describe which people account subject.
b4819d98-7775-4e52-9d7a-321b834ede90,Lisa Taylor,Ministry of Environment,Data Analyst,South,92995,23,Centralized actuating knowledge user,33617379,Cancelled,Temporary,4.62,Compliant,No,0,12/05/2023,53,448,Todd Solis,Low,Short agent suddenly deep form picture.
97f71a82-d46c-49a9-99ff-55ac5ce1e236,Mr. Phillip Bell,Ministry of Defense,Engineer,Central,211829,9,Enhanced value-added standardization,30849806,Completed,Contract,4.34,Compliant,No,0,03/07/2020,19,427,Marc Small,Medium,Increase head others system candidate tend.
341cea70-e2e2-4f39-a0ca-9b0303fb8241,Jessica Baker,Ministry of Transport,Auditor,North,49692,20,Networked hybrid support,48629560,Completed,Permanent,1.79,Compliant,No,0,31/07/2018,49,355,Diana Harvey,Medium,Occur success condition art relate.
f5ee1964-bce8-4bbd-a280-46d981ce8bb5,Amanda Cannon,Ministry of Finance,Field Officer,West,216830,18,Intuitive non-volatile software,21323034,Cancelled,Permanent,2.76,Compliant,Yes,1,11/10/2017,24,426,Erika Mcgee,Medium,Effort act treat raise eat dark style.
d6c36743-eae9-4b5e-9f02-6b0a7ca3ded9,Ronald Horne,Ministry of Energy,Auditor,North,243481,17,Fundamental encompassing hardware,38777396,Completed,Temporary,1.8,Compliant,Yes,1,14/10/2017,2,420,Lawrence Gomez,Top Secret,Human institution for continue poor operation economy.
